chromatic,  0  1  2  3  4  5  6  7  8  9  10 11;
ionian,     0  0  2  2  4  5  7  7  9  9  11 11;
dorian,     0  0  2  3  3  5  7  7  9  9  10 10;
phrygian,   0  1  1  3  3  5  7  7  8  8  10 10;
lydian,     0  0  2  2  4  4  6  7  7  9  9  11;
mixolydian, 0  0  2  2  4  5  7  7  9  9  10 10;
aeolian,    0  0  2  3  3  5  7  7  8  8  10 10;
locrian,    0  1  1  3  5  5  6  8  8  10 10 0;
octatonic1, 0  0  2  3  3  5  6  6  8  9  9  11;
octatonic2, 0  1  1  3  4  4  6  7  7  9  10 10;
